DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2012,3225974,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2013,3187740,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2014,3271410,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2015,3434839,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2016,3731182,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2017,3911688,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2018,4065979,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2019,4258308,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2020,2321958,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF4,2021,3336540,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2012,517901,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2013,532666,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2014,579111,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2015,673774,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2016,717280,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2017,786775,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2018,892087,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2019,944108,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2020,429847,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF5,2021,563627,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2012,1509337,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2013,1472466,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2014,1402373,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2015,1482028,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2016,1603012,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2017,1799779,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2018,1825863,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2019,1896326,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2020,955634,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2021,1189610,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2012,4331580,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2013,4473376,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2014,4621370,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2015,4528859,
